Year,Race,Session,Team,Driver,Driver Number,Compound,Tyre Life,Lap Number,Lap Times,Sector 1 Times,Sector 2 Times,Sector 3 Times
2023,Bahrain,FP1,Red Bull Racing,VER,1,MEDIUM,2.0,2.0,01:35.429,00:30.535,00:41.153,00:23.741
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,2.0,7.0,01:33.375,00:29.507,00:40.148,00:23.720
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,5.0,10.0,01:37.900,00:31.366,00:42.527,00:24.007
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,6.0,11.0,01:37.980,00:31.313,00:42.513,00:24.154
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,7.0,12.0,01:38.171,00:31.434,00:42.580,00:24.157
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,8.0,13.0,01:38.574,00:31.354,00:42.644,00:24.576
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,9.0,14.0,01:38.474,00:31.448,00:42.760,00:24.266
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,10.0,15.0,01:38.338,00:31.333,00:42.724,00:24.281
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,11.0,16.0,01:38.842,00:31.425,00:42.780,00:24.637
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,12.0,17.0,01:38.561,00:31.360,00:42.800,00:24.401
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,13.0,18.0,01:38.623,00:31.487,00:42.703,00:24.433
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,14.0,19.0,01:39.250,00:31.574,00:43.135,00:24.541
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,2.0,2.0,01:36.083,00:30.312,00:41.789,00:23.982
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,3.0,3.0,02:19.683,00:43.582,01:3.804,00:32.297
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,4.0,4.0,01:35.999,00:30.557,00:41.618,00:23.824
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,5.0,5.0,01:41.911,00:35.288,00:42.666,00:23.957
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,6.0,6.0,01:37.724,00:31.083,00:42.563,00:24.078
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,7.0,7.0,01:37.773,00:31.101,00:42.589,00:24.083
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,8.0,8.0,01:40.185,00:31.244,00:42.551,00:26.390
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,2.0,11.0,01:35.050,00:30.337,00:40.957,00:23.756
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,5.0,14.0,01:34.966,00:30.084,00:41.221,00:23.661
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,6.0,15.0,02:10.149,00:39.461,01:0.696,00:29.992
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,7.0,16.0,01:35.412,00:30.257,00:41.342,00:23.813
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,8.0,17.0,01:36.987,00:30.877,00:42.246,00:23.864
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,9.0,18.0,01:37.517,00:31.100,00:42.364,00:24.053
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,10.0,19.0,02:20.854,00:42.416,00:59.532,00:38.906
2023,Bahrain,FP1,Ferrari,SAI,55,MEDIUM,2.0,2.0,01:37.280,00:31.237,00:41.842,00:24.201
