Year,Race,Session,Team,Driver,Driver Number,Compound,Tyre Life,Lap Number,Lap Times,Sector 1 Times,Sector 2 Times,Sector 3 Times
2023,Bahrain,FP1,Red Bull Racing,VER,1,MEDIUM,2.0,2,0 days 00:01:35.429000,0 days 00:00:30.535000,0 days 00:00:41.153000,0 days 00:00:23.741000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,2.0,7,0 days 00:01:33.375000,0 days 00:00:29.507000,0 days 00:00:40.148000,0 days 00:00:23.720000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,5.0,10,0 days 00:01:37.900000,0 days 00:00:31.366000,0 days 00:00:42.527000,0 days 00:00:24.007000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,6.0,11,0 days 00:01:37.980000,0 days 00:00:31.313000,0 days 00:00:42.513000,0 days 00:00:24.154000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,7.0,12,0 days 00:01:38.171000,0 days 00:00:31.434000,0 days 00:00:42.580000,0 days 00:00:24.157000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,8.0,13,0 days 00:01:38.574000,0 days 00:00:31.354000,0 days 00:00:42.644000,0 days 00:00:24.576000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,9.0,14,0 days 00:01:38.474000,0 days 00:00:31.448000,0 days 00:00:42.760000,0 days 00:00:24.266000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,10.0,15,0 days 00:01:38.338000,0 days 00:00:31.333000,0 days 00:00:42.724000,0 days 00:00:24.281000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,11.0,16,0 days 00:01:38.842000,0 days 00:00:31.425000,0 days 00:00:42.780000,0 days 00:00:24.637000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,12.0,17,0 days 00:01:38.561000,0 days 00:00:31.360000,0 days 00:00:42.800000,0 days 00:00:24.401000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,13.0,18,0 days 00:01:38.623000,0 days 00:00:31.487000,0 days 00:00:42.703000,0 days 00:00:24.433000
2023,Bahrain,FP1,Red Bull Racing,VER,1,SOFT,14.0,19,0 days 00:01:39.250000,0 days 00:00:31.574000,0 days 00:00:43.135000,0 days 00:00:24.541000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,2.0,2,0 days 00:01:36.083000,0 days 00:00:30.312000,0 days 00:00:41.789000,0 days 00:00:23.982000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,3.0,3,0 days 00:02:19.683000,0 days 00:00:43.582000,0 days 00:01:03.804000,0 days 00:00:32.297000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,4.0,4,0 days 00:01:35.999000,0 days 00:00:30.557000,0 days 00:00:41.618000,0 days 00:00:23.824000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,5.0,5,0 days 00:01:41.911000,0 days 00:00:35.288000,0 days 00:00:42.666000,0 days 00:00:23.957000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,6.0,6,0 days 00:01:37.724000,0 days 00:00:31.083000,0 days 00:00:42.563000,0 days 00:00:24.078000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,7.0,7,0 days 00:01:37.773000,0 days 00:00:31.101000,0 days 00:00:42.589000,0 days 00:00:24.083000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,8.0,8,0 days 00:01:40.185000,0 days 00:00:31.244000,0 days 00:00:42.551000,0 days 00:00:26.390000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,2.0,11,0 days 00:01:35.050000,0 days 00:00:30.337000,0 days 00:00:40.957000,0 days 00:00:23.756000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,5.0,14,0 days 00:01:34.966000,0 days 00:00:30.084000,0 days 00:00:41.221000,0 days 00:00:23.661000
2023,Bahrain,FP1,Mercedes,RUS,63,MEDIUM,6.0,15,0 days 00:02:10.149000,0 days 00:00:39.461000,0 days 00:01:00.696000,0 days 00:00:29.992000
